smiles,gpcr,name,bias,source,pkd
Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,DRD2_HUMAN,CHEMBL2092961,Unknown,ChEMBL,7.22
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,DRD2_HUMAN,CHEMBL1204116,Unknown,ChEMBL,7.19
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,DRD2_HUMAN,CHEMBL1202222,Unknown,ChEMBL,6.69
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,DRD2_HUMAN,CHEMBL90476,Unknown,ChEMBL,7.33
C#CCN1CCC[C@@H](c2cccc(C#N)c2)C1,DRD2_HUMAN,CHEMBL91228,Unknown,ChEMBL,5.93
C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1,DRD2_HUMAN,CHEMBL308980,Unknown,ChEMBL,6.02
C1=C(c2ccccc2)CCN(C[C@@H]2CCC=C(c3ccccc3)C2)C1,DRD2_HUMAN,CI-1007,Unknown,ChEMBL,7.59
C=CCN1C2CCC1CC(=C(c1ccc(C(=O)NCC)cc1)c1cccc(O)c1)C2,OPRM1_HUMAN,CHEMBL434018,Unknown,ChEMBL,8.02
C=CCN1C2CCC1CC(=C(c1ccc(C(=O)NCC)cc1)c1cccc(OC)c1)C2,OPRM1_HUMAN,CHEMBL303875,Unknown,ChEMBL,7.86
C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,OPRM1_HUMAN,CHEMBL126255,Unknown,ChEMBL,5.48
C=CCN1CCC2c3c(cccc3OC)CC[C@@H]21,DRD2_HUMAN,CHEMBL418705,Unknown,ChEMBL,7.11
C=CCN1CCC2c3c(cccc3OC)CC[C@H]21,DRD2_HUMAN,CHEMBL10270,Unknown,ChEMBL,8.17
C=CCN1CCC2c3cccc(C#N)c3CCC21,DRD2_HUMAN,CHEMBL92939,Unknown,ChEMBL,6.01
C=CCN1CCC2c3cccc(O)c3CC[C@@H]21,DRD2_HUMAN,CHEMBL275543,Unknown,ChEMBL,7.23
C=CCN1CCC2c3cccc(O)c3CC[C@H]21,DRD2_HUMAN,CHEMBL10408,Unknown,ChEMBL,6.97
C=CCN1CCC2c3cccc(OC)c3CC[C@H]21,DRD2_HUMAN,CHEMBL10570,Unknown,ChEMBL,7.11
C=CCN1CCC[C@@H](c2cccc(C#N)c2)C1,DRD2_HUMAN,CHEMBL93212,Unknown,ChEMBL,6.6
C=CCN1CC[C@@H]2c3c(O)cccc3CC[C@H]21,DRD2_HUMAN,CHEMBL283738,Unknown,ChEMBL,7.6
C=CCN1CC[C@@H]2c3c(cccc3OC)CC[C@H]21,DRD2_HUMAN,CHEMBL286205,Unknown,ChEMBL,8.07
C=CCN1CC[C@@H]2c3cccc(O)c3CC[C@H]21,DRD2_HUMAN,CHEMBL25483,Unknown,ChEMBL,8.39
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@H]21,DRD2_HUMAN,CHEMBL24222,Unknown,ChEMBL,7.3
C=CCN1CC[C@H]2c3cccc(O)c3CC[C@H]21,DRD2_HUMAN,CHEMBL285873,Unknown,ChEMBL,7.12
C=CCN1CC[C@H]2c3cccc(OC)c3CC[C@H]21,DRD2_HUMAN,CHEMBL280955,Unknown,ChEMBL,7.74
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,OPRM1_HUMAN,NALOXONE,Balanced,ChEMBL,8.44
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,OPRM1_HUMAN,SNC-80,Unknown,ChEMBL,6.49
C=CCN1[C@@H]2CC[C@H]1C/C(=C(/c1ccccc1)c1ccc(C(=O)N(CC)CC)cc1)C2,OPRM1_HUMAN,CHEMBL304989,Unknown,ChEMBL,5.36
C=CCN1[C@@H]2CC[C@H]1C/C(=C(/c1ccccc1)c1ccc(C(=O)NCC)cc1)C2,OPRM1_HUMAN,CHEMBL68342,Unknown,ChEMBL,7.98
C=CCN1[C@@H]2CC[C@H]1C/C(=C(\c1ccccc1)c1ccc(C(=O)NCC)cc1)C2,OPRM1_HUMAN,CHEMBL302142,Unknown,ChEMBL,7.72
