Compound Name,Chemical Category,SMILES String,Predicted pKd,Est. Kd (nM),G-Protein Bias Prob,Balanced Prob,β-Arrestin Bias Prob,Selectivity Score,MolWt,LogP,HBD,HBA,TPSA,RotBonds,QED_Score,Lipinski_Pass,BBB_Permeable
Lisuride,Ergoline Class,CCN(CC)C(=O)NC1CN(C)C2Cc3c[nH]c4ccc(C2=C1)c34,5.45,3511.83,0.2,99.7,0.1,0.011,,,,,,,,False,False
25I-NBOMe,Phenethylamine Agonist,COC1=C(C=C(C(=C1)I)CCNCC2=CC=CC=C2OC)OC,6.97,107.51,0.0,99.9,0.0,0.003,427.3,3.65,1.0,4.0,39.7,8.0,0.516,True,False
Ketamine,Aesthetic Dissociative,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,7.26,54.42,0.0,99.9,0.0,0.003,237.7,2.9,1.0,2.0,29.1,2.0,0.857,True,True
Psilocybin,Psychedelic Alkaloid,COP(=O)(O)OC1=CC=CC2=C1C(CCN(C)C)=CN2,7.45,35.14,0.0,100.0,0.0,0.002,298.3,2.4,2.0,4.0,74.8,6.0,0.801,True,True
DMT,Tryptamine Derivative,CN(C)CCC1=CNC2=CC=CC=C12,7.46,34.45,0.0,100.0,0.0,0.002,188.3,2.27,1.0,1.0,19.0,3.0,0.783,True,True
Mescaline,Phenethylamine,COCc1cc(OC)c(OC)c(OC)c1,7.28,52.33,0.0,99.9,0.0,0.002,212.2,1.86,0.0,4.0,36.9,5.0,0.746,True,True
Loxapine,Tricyclic Antipsychotic,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,7.41,38.75,0.0,100.0,0.0,0.002,327.8,3.77,0.0,4.0,28.1,0.0,0.737,True,False
Bromocriptine,Ergoline Agonist,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,7.43,36.93,0.0,100.0,0.0,0.002,654.6,3.19,3.0,6.0,118.2,5.0,0.456,False,False
Novel_Analog_X1,Synthetic Tryptamine,CCN(CC)C(=O)CC1=CNC2=C1C=C(OC)C=C2,7.25,56.25,0.0,99.9,0.0,0.002,260.3,2.59,1.0,2.0,45.3,5.0,0.898,True,True
Novel_Analog_Y2,Synthetic Phenol-tryptamine,CC(C)NCCC1=CNC2=C1C=C(O)C=C2,7.4,39.72,0.0,100.0,0.0,0.002,218.3,2.41,3.0,2.0,48.0,4.0,0.738,True,True
